,review_comment_message,results
0,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,Positive
1,"Vendedor confiável, produto ok e entrega antes do prazo.",Positive
2,Péssimo,Negative
3,Loja nota 10,Neautral
4,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",Negative
5,"Recomendo ,",Positive
6,"Tô completamente apaixonada, loja super responsável e confiável!",Positive
7,Muito bom. muito cheiroso.,Neautral
8,MT lindo,Positive
9,Recomendo o vendedor... ,Positive
10,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,Positive
11,Super rápido.,Positive
12,OK RECOMENDO,Positive
13,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,Negative
14,Gostei da atenção com a entrega,Positive
15," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",Positive
16,A peça não serviu,Neautral
17,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",Positive
18,Muito bom alta qualidade!,Positive
19,Faltou 1 produto e os que recebi 1 veio quebrado,Negative
20,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",Positive
21,aqui está descrevendo como entregue só que ate agora não recebi,Neautral
22,Comecei a usar agora ,Neautral
23,"Comprar um produto correto na capa mas interno ser outro.???????
",Neautral
24,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",Neautral
25,Recomendo,Positive
26,super recomendo produto profissional de qualidade,Positive
27,muito bom e rapido quando vi ja tinha chegado,Positive
28,"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",Negative
29,"Entregue dentro do prazo, e com bom período de validade.",Positive
30,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",Negative
31,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,Positive
32,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,Positive
